time,left_corner_x,left_corner_y,right_corner_x,right_corner_y,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,screen_x,screen_y
443.43333333333334,279.9333190917969,251.6425323486328,360.8180236816406,248.3238983154297,291.7568664550781,250.18055725097656,351.89263916015625,248.38197326660156,561,490
443.8,280.5627136230469,251.5966033935547,362.0498962402344,249.43028259277344,292.18096923828125,250.2860870361328,352.482177734375,249.17495727539065,561,490
444.23333333333335,280.66131591796875,252.8851318359375,361.0228576660156,249.95703125,291.2378234863281,251.66439819335935,351.06646728515625,250.3050994873047,561,490
445.6,281.28045654296875,251.22198486328125,362.6668395996094,249.70541381835935,292.0407409667969,250.4576110839844,353.2301940917969,248.98507690429688,43,30
445.96666666666664,281.01885986328125,252.4481201171875,360.89019775390625,248.7414093017578,292.24847412109375,251.5389862060547,351.3373718261719,249.6513671875,43,30
446.4,281.2905578613281,251.72506713867188,361.4068908691406,249.43833923339844,292.2031555175781,250.703369140625,352.103271484375,249.0913543701172,43,30
446.76666666666665,280.22637939453125,250.7622833251953,361.4889526367187,248.48976135253903,292.0632019042969,249.87399291992188,352.3361511230469,248.4770050048828,43,30
447.26666666666665,282.5928039550781,247.7827606201172,365.7001037597656,243.88755798339844,296.0149230957031,246.27296447753903,356.5765380859375,242.86659240722656,43,30
0.0,280.9892272949219,288.52685546875,357.5637512207031,286.9500427246094,292.898193359375,286.46673583984375,348.9822692871094,285.1816711425781,484,21
0.3333333333333333,281.8721618652344,287.9961242675781,358.3647155761719,285.94775390625,292.4633483886719,286.5117492675781,349.2421569824219,284.38494873046875,486,25
0.6333333333333333,281.4042663574219,288.4180908203125,357.6624755859375,285.54901123046875,291.96673583984375,286.7248229980469,348.5538330078125,284.2249755859375,479,27
2.1333333333333333,279.86883544921875,289.98724365234375,356.5356750488281,287.66259765625,290.54974365234375,288.63824462890625,347.0193176269531,286.6376037597656,483,22
3.2666666666666666,243.8274078369141,33.80117416381836,258.44793701171875,28.112991333007812,251.78668212890625,33.650821685791016,252.99267578125,28.24527359008789,490,28
4.4,277.54864501953125,265.5341491699219,353.75799560546875,262.7580871582031,289.66082763671875,263.8083801269531,344.3959045410156,261.9412841796875,300,430
4.7,276.6631774902344,265.9404296875,353.4340515136719,263.1399230957031,288.9132995605469,264.1607360839844,344.0347900390625,262.5291442871094,303,444
5.066666666666666,280.0850524902344,270.3285827636719,355.63983154296875,267.62005615234375,291.60919189453125,269.0393371582031,347.6491394042969,267.4774475097656,308,441
5.366666666666666,281.7663269042969,269.3138427734375,358.6457214355469,266.5006408691406,294.3155822753906,268.27484130859375,350.190185546875,266.8349609375,308,436
6.333333333333333,279.81036376953125,270.1614990234375,356.02838134765625,267.707275390625,290.7376403808594,268.86944580078125,347.95648193359375,267.3753967285156,301,429
7.266666666666667,278.2002258300781,270.5069274902344,354.00653076171875,267.25335693359375,289.1642761230469,269.177490234375,345.1832580566406,266.8810729980469,239,378
7.566666666666666,278.612548828125,272.3185729980469,354.81060791015625,268.3524475097656,288.7585144042969,270.9344177246094,345.7632751464844,267.7691345214844,245,380
7.933333333333334,277.8323974609375,271.2416076660156,354.0243225097656,267.3725891113281,289.1825256347656,269.37982177734375,345.1261901855469,267.1549377441406,244,388
8.233333333333333,277.2781066894531,271.3796081542969,353.79058837890625,267.41888427734375,288.8720703125,269.5171813964844,345.0709533691406,267.1318054199219,245,388
8.566666666666666,277.3505859375,269.7585144042969,353.97222900390625,265.03704833984375,289.248291015625,268.1964111328125,345.162109375,264.8128662109375,241,388
10.066666666666666,276.6409606933594,270.4023742675781,354.6542053222656,265.0460205078125,288.6614074707031,268.7640380859375,345.0945129394531,264.8056335449219,660,654
10.4,276.8928527832031,271.578369140625,354.0919189453125,267.2431945800781,287.5618896484375,270.2377624511719,344.58154296875,266.7993469238281,653,658
10.7,274.494873046875,272.5130615234375,352.1735534667969,267.9833679199219,285.6573181152344,271.0685729980469,341.9132995605469,267.5871276855469,651,656
11.033333333333331,276.6490478515625,270.5419616699219,353.95733642578125,267.38018798828125,287.9448547363281,269.07305908203125,344.473876953125,266.891357421875,657,654
11.666666666666666,277.30413818359375,271.13372802734375,353.444580078125,267.7528991699219,287.4488220214844,270.24017333984375,344.3529968261719,267.51800537109375,651,655
12.4,275.689453125,272.86260986328125,353.50665283203125,268.3416748046875,286.996337890625,271.5583190917969,344.8080749511719,267.9129638671875,509,629
12.7,275.5609130859375,272.8232421875,353.6583557128906,268.86077880859375,286.4489440917969,271.6322021484375,344.3988342285156,268.275390625,516,634
13.033333333333331,275.1896667480469,272.3083801269531,352.3436279296875,268.3697814941406,286.24365234375,271.10601806640625,342.375732421875,267.8909912109375,521,638
13.466666666666669,277.1303405761719,271.744873046875,354.0002136230469,267.3493957519531,288.661376953125,270.1860046386719,344.9926452636719,267.0853271484375,522,634
13.9,277.1819152832031,270.8962707519531,353.9749450683594,267.701416015625,287.6627197265625,269.8188171386719,344.49627685546875,267.4961242675781,520,631
14.9,276.7206115722656,271.49847412109375,353.6722106933594,267.1162109375,287.67706298828125,270.2524719238281,344.031005859375,267.0314025878906,565,67
15.233333333333333,275.8141174316406,272.616943359375,353.9800109863281,267.8737487792969,287.21087646484375,271.2981262207031,345.1654968261719,267.4839782714844,573,68
15.7,273.69757080078125,273.4913635253906,352.0920715332031,267.71417236328125,285.06451416015625,271.6710205078125,341.7074279785156,267.5363464355469,570,77
16.066666666666666,275.95172119140625,270.1595458984375,353.838623046875,265.7969665527344,287.0848388671875,268.9696044921875,343.7794189453125,265.4916687011719,570,76
16.466666666666665,274.0494384765625,273.8677062988281,352.8727722167969,268.6387634277344,286.00494384765625,271.912353515625,343.356201171875,267.7392578125,578,76
17.5,274.013427734375,271.08380126953125,351.8185729980469,266.0902099609375,285.48553466796875,269.2309875488281,342.8149719238281,265.8452453613281,111,603
17.866666666666667,273.9781799316406,271.87615966796875,351.4122009277344,266.7431945800781,285.7157287597656,270.3984375,342.8875427246094,267.3117370605469,116,599
18.233333333333334,273.6947326660156,271.49420166015625,352.54180908203125,265.7228698730469,286.1196594238281,269.54644775390625,343.4678649902344,265.8021545410156,112,602
18.566666666666663,275.5960693359375,271.3817138671875,354.0323486328125,267.0132751464844,287.44635009765625,269.9378662109375,344.59954833984375,266.8155212402344,114,603
18.933333333333337,274.54266357421875,272.8741760253906,353.0706481933594,267.4761047363281,286.2789611816406,271.2791748046875,343.6804504394531,267.5384521484375,115,605
19.7,274.83154296875,272.1344909667969,353.5062561035156,266.0461120605469,286.4727783203125,270.3532409667969,343.95196533203125,266.06072998046875,237,534
20.066666666666663,275.6225891113281,271.1282958984375,353.7713928222656,266.021484375,287.2411804199219,269.4538879394531,344.84814453125,265.7636413574219,232,545
20.4,274.9793701171875,271.9040222167969,353.1680908203125,267.400634765625,286.3952331542969,270.5443115234375,343.9423522949219,267.1327819824219,226,554
20.766666666666666,274.3073425292969,271.83758544921875,352.0953063964844,266.72393798828125,285.5997314453125,270.2419128417969,342.9557800292969,266.3816833496094,233,552
21.433333333333337,274.82745361328125,272.4752502441406,353.82720947265625,267.5470886230469,286.73388671875,270.7095642089844,344.42822265625,267.28369140625,237,545
22.5,273.32244873046875,272.7138977050781,352.56671142578125,266.9665222167969,285.4999694824219,270.7354736328125,343.49493408203125,266.8514404296875,192,110
22.833333333333332,273.65972900390625,273.4961853027344,352.55035400390625,267.4515686035156,285.8540954589844,271.6299743652344,343.2005310058594,267.18609619140625,186,118
23.166666666666668,271.8336486816406,272.63763427734375,350.9393005371094,264.827392578125,285.0777282714844,269.4178771972656,341.41534423828125,265.1125793457031,193,122
23.566666666666663,272.5748291015625,273.56500244140625,350.9563903808594,265.58465576171875,285.04522705078125,270.9303894042969,342.0161437988281,265.49005126953125,188,122
24.066666666666663,273.2970886230469,274.3465881347656,352.5336608886719,267.72222900390625,285.8884582519531,271.8635559082031,343.5645446777344,267.1291198730469,190,121
25.0,274.76055908203125,271.9832763671875,353.2001647949219,265.4851989746094,287.0625915527344,269.4931945800781,343.75238037109375,265.2343444824219,351,208
25.366666666666667,274.71405029296875,271.0198669433594,352.4577331542969,265.3116149902344,287.23004150390625,268.5581359863281,343.44708251953125,264.93896484375,345,210
