time,left_corner_x,left_corner_y,right_corner_x,right_corner_y,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,screen_x,screen_y
0.0,290.2379455566406,264.5989074707031,376.8987426757813,262.6367492675781,298.3002014160156,264.68060302734375,352.1622009277344,267.09783935546875,469,437
1.1,294.0888366699219,270.2231750488281,374.7786560058594,266.5422668457031,302.14459228515625,268.51678466796875,361.0088195800781,266.5401306152344,1889,886
2.066666666666667,293.300537109375,260.3233337402344,369.7441711425781,259.5528869628906,303.3281555175781,259.3596496582031,357.3538513183594,259.8923034667969,459,250
2.8666666666666667,301.9410095214844,262.3896179199219,380.4104614257813,260.298828125,312.6117858886719,259.3446960449219,368.002685546875,261.2268981933594,717,970
3.7666666666666666,304.306884765625,256.759765625,381.3432922363281,255.4952392578125,313.1002502441406,256.0933837890625,370.70794677734375,255.5089569091797,1521,1029
4.533333333333333,291.76544189453125,256.7396545410156,369.3838806152344,258.6877136230469,301.1228332519531,256.2828674316406,357.0570373535156,258.9529724121094,1121,60
5.233333333333333,294.8525085449219,256.8933410644531,369.0598449707031,258.4555358886719,304.0867919921875,256.625,358.5719909667969,259.0903015136719,1189,183
6.766666666666667,294.7770690917969,259.8045654296875,370.9595031738281,259.6710205078125,303.7972717285156,259.2362060546875,358.8300476074219,261.42449951171875,289,1063
7.766666666666667,292.8905944824219,261.4819641113281,372.0736083984375,260.265625,303.0289306640625,260.0823669433594,358.8219909667969,261.7438659667969,426,51
8.533333333333333,293.54547119140625,260.4898986816406,370.992919921875,259.72503662109375,303.1162109375,259.6545104980469,357.925537109375,260.9184875488281,554,358
9.333333333333334,291.8958740234375,263.1211242675781,372.0199279785156,260.0023193359375,302.387939453125,261.2933654785156,359.13812255859375,261.67791748046875,1335,561
10.2,292.8578796386719,262.51361083984375,372.58056640625,260.4198303222656,303.86114501953125,261.3356018066406,359.3081970214844,262.8140869140625,303,723
11.066666666666666,292.4948425292969,260.5301513671875,370.7816162109375,258.0637512207031,302.50848388671875,259.9018249511719,358.07757568359375,259.9154968261719,1579,396
11.833333333333334,293.2627258300781,261.5144958496094,370.0971984863281,258.9962158203125,303.76422119140625,260.3687744140625,358.24871826171875,260.26617431640625,813,735
13.0,289.4141540527344,258.95526123046875,371.9925231933594,258.3294372558594,300.5023193359375,258.8611145019531,358.14886474609375,259.236572265625,107,154
13.833333333333334,292.9222106933594,261.4520568847656,367.3352355957031,259.5306396484375,302.83026123046875,260.9058837890625,356.3815002441406,259.3677062988281,832,350
14.766666666666667,292.21612548828125,263.4219970703125,370.7647399902344,262.13458251953125,303.03070068359375,262.54071044921875,357.91363525390625,262.3504333496094,96,871
15.566666666666666,291.5294189453125,261.0727844238281,371.8282775878906,259.2156677246094,302.1656799316406,259.9895324707031,358.3568420410156,260.42059326171875,294,415
16.333333333333332,296.7469787597656,258.1847839355469,434.5917663574219,286.97564697265625,305.1052551269531,256.12310791015625,365.47711181640625,259.059326171875,726,174
