timestamp,x,y
2025-03-06T15:53:45.2070042-05:00,1066,724
2025-03-06T15:53:46.4613950-05:00,72,785
2025-03-06T15:53:47.5008305-05:00,1759,813
2025-03-06T15:53:48.3723960-05:00,316,743
2025-03-06T15:53:49.3101855-05:00,2020,961
2025-03-06T15:53:50.2599681-05:00,436,927
2025-03-06T15:53:51.1601781-05:00,2532,520
2025-03-06T15:53:52.0137889-05:00,1278,338
2025-03-06T15:53:52.9875241-05:00,1102,1449
2025-03-06T15:53:53.7890633-05:00,1196,1276
2025-03-06T15:53:54.6693751-05:00,849,1769
2025-03-06T15:53:55.6216827-05:00,1086,1289
2025-03-06T15:53:56.7267748-05:00,2725,816
2025-03-06T15:53:57.6233792-05:00,2595,342
2025-03-06T15:53:58.5194435-05:00,2602,709
2025-03-06T15:53:59.2939284-05:00,2147,789
2025-03-06T15:54:00.4678003-05:00,63,360
2025-03-06T15:54:01.5192877-05:00,2773,1615
2025-03-06T15:54:02.6641410-05:00,58,1298
2025-03-06T15:54:03.5641320-05:00,1643,1721
2025-03-06T15:54:04.8058971-05:00,2346,1684
2025-03-06T15:54:05.8877446-05:00,775,177
2025-03-06T15:54:06.7938885-05:00,887,1422
2025-03-06T15:54:07.7507634-05:00,1662,740
2025-03-06T15:54:08.7436848-05:00,203,600
2025-03-06T15:54:09.7521250-05:00,2053,816
2025-03-06T15:54:10.6966440-05:00,2538,25
2025-03-06T15:54:11.6551597-05:00,174,1386
2025-03-06T15:54:12.5183659-05:00,2257,86
2025-03-06T15:54:13.2887961-05:00,2871,473
2025-03-06T15:54:14.2128836-05:00,1201,88
2025-03-06T15:54:14.9595873-05:00,1856,134
2025-03-06T15:54:15.7886724-05:00,455,614
2025-03-06T15:54:16.6309264-05:00,207,1118
2025-03-06T15:54:18.2641760-05:00,2089,1725
2025-03-06T15:54:19.2397451-05:00,869,90
2025-03-06T15:54:20.3034034-05:00,2751,184
2025-03-06T15:54:21.2598134-05:00,282,1332
2025-03-06T15:54:22.1864966-05:00,876,1534
2025-03-06T15:54:23.2501728-05:00,2316,548
2025-03-06T15:54:24.1104676-05:00,1164,161
